id,text
1,"The quick brown fox jumps over the lazy dog."
2,"A journey of a thousand miles begins with a single step."
3,"All that glitters is not gold."
4,"To be or not to be, that is the question."
5,"The only limit to our realization of tomorrow is our doubts of today."
6,"Success usually comes to those who are too busy to be looking for it."
7,"Don't watch the clock; do what it does. Keep going."
8,"The best way to predict the future is to create it."
9,"You miss 100% of the shots you don't take."
10,"Failure is not the opposite of success; it’s part of success."
